"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","967","test_accept_unknown_order","tests","Thu Dec 04 12:27:25 MSK 2025","passed","Thu Dec 04 12:27:26 MSK 2025","TestAcceptOrder","test_accept_order","",""
"","329","test_create_courier_success","tests","Thu Dec 04 12:27:26 MSK 2025","passed","Thu Dec 04 12:27:26 MSK 2025","TestCreateCourier","test_create_courier","",""
"","329","test_order_colors[colors2]","tests","Thu Dec 04 12:27:34 MSK 2025","passed","Thu Dec 04 12:27:34 MSK 2025","TestOrderCreate","test_order_create","",""
"","299","test_accept_without_courier_id","tests","Thu Dec 04 12:27:24 MSK 2025","passed","Thu Dec 04 12:27:25 MSK 2025","TestAcceptOrder","test_accept_order","",""
"","357","test_get_order_unknown_track","tests","Thu Dec 04 12:27:30 MSK 2025","passed","Thu Dec 04 12:27:31 MSK 2025","TestGetOrderByTrack","test_get_order_by_number","",""
"","304","test_no_login_field","tests","Thu Dec 04 12:27:27 MSK 2025","passed","Thu Dec 04 12:27:27 MSK 2025","TestCreateCourier","test_create_courier","",""
"","314","test_login_success","tests","Thu Dec 04 12:27:31 MSK 2025","passed","Thu Dec 04 12:27:32 MSK 2025","TestLoginCourier","test_login_courier","",""
"","321","test_delete_unknown_id","tests","Thu Dec 04 12:27:29 MSK 2025","passed","Thu Dec 04 12:27:29 MSK 2025","TestDeleteCourier","test_delete_courier","",""
"","1777","test_accept_order_success","tests","Thu Dec 04 12:27:23 MSK 2025","passed","Thu Dec 04 12:27:24 MSK 2025","TestAcceptOrder","test_accept_order","",""
"","546","test_unknown_user","tests","Thu Dec 04 12:27:32 MSK 2025","passed","Thu Dec 04 12:27:33 MSK 2025","TestLoginCourier","test_login_courier","",""
"","312","test_order_colors[colors1]","tests","Thu Dec 04 12:27:33 MSK 2025","passed","Thu Dec 04 12:27:34 MSK 2025","TestOrderCreate","test_order_create","",""
"","326","test_delete_without_id","tests","Thu Dec 04 12:27:29 MSK 2025","passed","Thu Dec 04 12:27:29 MSK 2025","TestDeleteCourier","test_delete_courier","",""
"","387","test_accept_with_unknown_courier","tests","Thu Dec 04 12:27:25 MSK 2025","passed","Thu Dec 04 12:27:25 MSK 2025","TestAcceptOrder","test_accept_order","",""
"","317","test_no_password","tests","Thu Dec 04 12:27:32 MSK 2025","passed","Thu Dec 04 12:27:32 MSK 2025","TestLoginCourier","test_login_courier","",""
"","321","test_no_password_field","tests","Thu Dec 04 12:27:27 MSK 2025","passed","Thu Dec 04 12:27:28 MSK 2025","TestCreateCourier","test_create_courier","",""
"","701","test_get_order_success","tests","Thu Dec 04 12:27:29 MSK 2025","passed","Thu Dec 04 12:27:30 MSK 2025","TestGetOrderByTrack","test_get_order_by_number","",""
"","348","test_order_colors[colors3]","tests","Thu Dec 04 12:27:34 MSK 2025","passed","Thu Dec 04 12:27:34 MSK 2025","TestOrderCreate","test_order_create","",""
"","325","test_get_order_without_track","tests","Thu Dec 04 12:27:30 MSK 2025","passed","Thu Dec 04 12:27:30 MSK 2025","TestGetOrderByTrack","test_get_order_by_number","",""
"","343","test_order_colors[colors0]","tests","Thu Dec 04 12:27:33 MSK 2025","passed","Thu Dec 04 12:27:33 MSK 2025","TestOrderCreate","test_order_create","",""
"","1016","test_delete_courier_success","tests","Thu Dec 04 12:27:28 MSK 2025","passed","Thu Dec 04 12:27:29 MSK 2025","TestDeleteCourier","test_delete_courier","",""
"","8063","test_get_orders","tests","Thu Dec 04 12:27:34 MSK 2025","passed","Thu Dec 04 12:27:42 MSK 2025","TestOrdersList","test_orders_list","",""
"","635","test_create_same_courier_twice","tests","Thu Dec 04 12:27:26 MSK 2025","passed","Thu Dec 04 12:27:27 MSK 2025","TestCreateCourier","test_create_courier","",""
"","329","test_no_login","tests","Thu Dec 04 12:27:32 MSK 2025","passed","Thu Dec 04 12:27:32 MSK 2025","TestLoginCourier","test_login_courier","",""
